,id,title,viewCount,likeCount,commentCount,subscriberCount,noticeds
185,isls26FGUaA,러블리즈(Lovelyz) “그 시절 우리가 사랑했던 우리(Beautiful Days)” Official MV,2852490.0,51299.0,5262.0,1910000,4.9540785973581105
375,SQPsdD6O744,하늘 럭키섬에서 싸워요!! 마인크래프트 탁주 쪼꼬,2734503.0,11568.0,503.0,736000,2.136477503316812
225,ZxLx3orA66s,이거 힐링게임 맞지..? 한국인 종특이 제대로 드러나는 게임 TOP5,2705959.0,27798.0,6977.0,727000,3.291398567026799
255,Zbss5Bh-sAQ,[카트라이더] BGM 메들리 피아노 연주 (빌리지~도검),2690535.0,28501.0,6361.0,5690,3.086155437894582
378,7_S5MXohErA,여자 도깨비의 탄생!! [귀여운 전장의 神..] 마인크래프트 탁주 쪼꼬,2489109.0,12794.0,830.0,736000,1.9447502459508754
91,iEX35xlzKFE,아바타소개팅,2454860.0,28936.0,2902.0,2450000,1.647404971096933
409,UCPrqekcoTI,"🔥""선생님 저 수능 포기하고 유튜버 하겠습니다"" 제자의 싹을 본 선생님의 큰그림 ㄷㄷ..",2419080.0,32113.0,2358.0,1760000,1.2595140838070535
406,gF-9mFhjXf4,[SUB]하...방송하기 싫다ㅋㅋㅋㅋㅋㅋ (강퇴한 시청자 채팅 읽기),2387158.0,30022.0,2331.0,1760000,1.2428936295090192
399,_jFBzWRwQuk,절대로 똑바로 누워서 자면 안되는 이유. 머리와 심장의 높이 조절이 중요합니다. 수면 자세를 조금만 바꾸어도 건강에 큰 도움이 됩니다.,2337212.0,66841.0,954.0,490000,1.8496735360093888
334,PyDZYLYWcNg,2016 World Championship Moments and Memories,2321963.0,18639.0,1463.0,3380000,3.62901696928493
461,ipUUcDeGegY,제31강: 5년전에 이미 예견된 바이러스,2186334.0,62664.0,6350.0,466000,6.668409996595044
99,K6RP1DknEjE,"시각 장애인 신혜 씨, 임용고시 합격 후 첫 발령! 안내견 미래도 출근 준비를 시작하는데.. [미래야 학교 가자 1부], KBS 120319 방송",2171864.0,12695.0,2134.0,455000,1.4574923010462792
325,icvk6EPSQeM,피카츄가 한국 욕을?! 포켓몬을 잡자!! 포켓몬 GO 모드! (GTA 5 Mods Funny Moments),2167487.0,11538.0,3623.0,312000,6.824973900776865
556,NZwX1l7u9Jk,[나 혼자 산다] 준호야 할미왔다... 고양이 4마리와 운동기구가 가득한 준호네 집 탐방하기🙊ㅣ#준호 #2PM #우리집 MBC210521방송,2160546.0,39730.0,3415.0,469000,1.4498904834534936
405,kO0iseTCmh4,"[SUB]*실화 레전드*""CGV 점장 불러와!!"" 영화1시간 기다린 관객들이 폭동일으킨 썰;; 팝콘던지고 난리남",2096108.0,25649.0,2269.0,1760000,1.0913560308797705
400,jpcWI_pVjMk,"[실화]""알바생 없어요??"" 『코로나』땜에 아무도 없는 유령CGV..표 검수도 안함ㄷ",2068367.0,28223.0,2769.0,1760000,1.6369091475891495
364,b0BrfwJDsEY,어그+에땁=치킨!!! 보급먹을때 간절하게 소원을 빌면 우주가 도와준답니다. 근데 가끔..,2052459.0,9295.0,1295.0,504000,2.232228697102835
134,j88u_QKgbck,Origin of Endless IKEA... | SCP-3008 (SCP Animated Movie),2021156.0,68040.0,3934.0,1040000,6.434676906094425
373,CxXkaIexIiQ,탁주는 로블록스 고수?,1937161.0,6325.0,737.0,736000,1.5135111926381863
362,sTz_0SOYrao,여포가 지나간 자리엔 상자만 남을뿐..... 파밍해야지 ^0^!,1933336.0,10814.0,2075.0,504000,2.1026720145649715
436,Yt5kWuC6iDE,레인보우 액체괴물 쓰나미가 온다면...?! 슬라임집vs유리집 [역대 어마무시한 쓰나미..! 정말 예뻐서 깜짝 놀랐어요!] 퀸톨 예순(뭔가ㅋㅋㅋㅋ?),1841806.0,10937.0,1904.0,631000,4.000768958408908
209,EI8K-E8C5P0,"(ENG)""이거 꿈인가요?"" 북한 사람이 김정은을 처음 만나면 하는 말",1761330.0,17461.0,2475.0,464000,1.3612388767973438
612,0XOBn2wxpE8,지오메트리 대시 - 제 자작맵 뽕에 취해버렸습니다ㅋㅋㅋㅋㅋ,1749853.0,10292.0,899.0,96200,0.6282890184263109
569,VcqnABXK-m4,최고로 멋지게 절교하는 법,1703742.0,44130.0,4983.0,318000,8.033466701759108
396,sF94nGoWGMg,수 많은 종류의 영양제 중에서 이것부터 먹어야 합니다.,1685152.0,43443.0,1414.0,490000,1.3336321474274877
157,kdJutfUayaM,지오메트리 대쉬 - 뭔가 이상한 리센트 맵 탐방ㅋㅋ,1534575.0,8759.0,2478.0,96200,0.5509930135887994
22,AMP47TRJ1Ks,"[백신접종] 백신 접종전 주의사항, 백신접종후 증상, 부작용, 타이레놀, 쉽고 빠르게 알려드립니다",1310117.0,36467.0,1503.0,188000,6.3407494263696185
