,id,title,viewCount,likeCount,commentCount,subscriberCount
455,DeecCsSizZY,[로블록스(Roblox)] 경찰VS범죄자VS초능력자?!!! 새로운 제일브레이크! 간단 리뷰 & 플레이 영상,904566.0,3744.0,601.0,813000
332,7uYoQ2i16nY,2017 World Championship Moments and Memories,896062.0,10966.0,1189.0,3380000
429,NE0UTmycM8I,어몽어스가 현질게임 이었다면? ㄷㄷ,877813.0,9728.0,1952.0,204000
293,WTbz6qfbrF4,아무 것도 하기 싫어질 때 보면 좋은 영화,876918.0,24282.0,717.0,369000
644,3EznkVDs6HI,만약 모든 사람이 총을 갖고 있다면? [사우스파크],869351.0,8907.0,983.0,30100
306,xN0SlVhSkJA,💩새벽 응급실에서.. 쌀뻔한(?) 사연 ㅋㅋㅋㅋㅋ,850315.0,14517.0,2778.0,865000
247,Nl7p5rwUFko,미쳐버린 대학교 싸이버 강의 빌런들 모음ㅋㅋㅋ,786866.0,13181.0,526.0,360000
477,BqEFSZ_8f2I,가짜신부의 정체? 남친을 빼앗긴 진짜신부 플레르.. 하지만 진실은 밝혀진다 결혼식을 마치고 부부가 될 수 있을까 [마인크래프트 신부쟁탈전#2]Minecraft - [플레르TV],775104.0,13140.0,1126.0,334000
629,ylTeWQSzgkw,악마의 열매가 각성을? 쿠궁쿠궁 열매 각성하기 [로블록스],763709.0,3540.0,1871.0,1000000
505,Ydo1uvmF9OM,[KBS 명작다큐] 바다의 제국 1부 - 욕망의 바다 | 대항해 시대의 시작을 알린 향신료 (후추),751918.0,6457.0,604.0,898000
435,AXIryg6XXv4,친구 트롤하기?! 마인크래프트 광질 복불복ㅋㅋㅋ [당신의 광질 운은?!] 퀸톨 예순,727407.0,4616.0,382.0,631000
315,WXGnSyRTWDM,카레이스키 Корейцы 고향으로 돌아오다; 광주 고려인마을 [광주MBC다큐],715066.0,5550.0,918.0,135000
286,Qq-p_Rc9brM,옴므[꿀잼보장!! 멘붕 오토바이 점프맵!! 도전은 계속 된다!! 바이크챌린지4](GTA5 Funny Moments),713530.0,6347.0,1393.0,312000
420,Z4iPq8qQdqw,코로나 바이러스를 막아라!! [잡초 마인크래프트],672463.0,5771.0,745.0,204000
383,lpjY4EscdI8,"지하철에서 '마스크' 안쓰는 아저씨 참교육!! ""우리 엄마가 화가 많이 났어요!!"" 공공장소에서 민폐 부리는 사람들!? 상황극 『마인크래프트』 (잉여맨 가족상황극)",659902.0,11437.0,2888.0,907000
388,4BMJPX5BmJ4,☆지구 멸망☆ 가족들은 지하실에서 생존해야만해!! [1편] (잉여맨 가족상황극 마인크래프트),650235.0,5119.0,674.0,907000
302,wHqE9IboAqs,설문조사하다 북한 간첩으로 의심받고 잡혀갈뻔한 썰 ㅋㅋㅋㅋㅋ,646903.0,11607.0,1217.0,865000
421,FYU6k73zZdg,상큼하게 터지는 크리퍼 먹방...ㅎㅎ,626357.0,13919.0,631.0,204000
478,vQUoc393lB4,"우리 반 아이, 마파가 유치원에서 토를 했다!선생님 플레르의 걱정되는 하루.. [샌박유치원 선생님#2 마인크래프트]Minecraft - [플레르TV]",605850.0,5495.0,8.0,334000
591,yyGSRETu-10,[BRUSH] SCP-3008 이케아 애니메이션,589967.0,10470.0,256.0,445000
570,1SAmADBVyko,집에서 겜만하던 멤버가 코로나 확진이라니..,589461.0,8527.0,568.0,1700000
265,xGoPVsl3n1c,[얼불춤 커스텀] Plum - Maelstrom 【완벽한 플레이!】 [제작자: RedCRP],558639.0,5161.0,827.0,103000
410,Q_GIJZVJQs8,코로나 바이러스로 인해 격리됐습니다 ㅠㅠㅣ프로연우_ProYeonwoo,555795.0,6588.0,1705.0,68300
433,465_G3dIHHw,미친 외계인 군대가 온다..! [어떤 집은 살아남을 수 있다?! 흑요석 하우스 vs 에메랄드 하우스 *반전주의*] 퀸톨 쫀득,512636.0,3653.0,486.0,631000
385,oCSsP2DRJgs,"😰엄마가 기억상실증에 걸렸어요.. ""누구세요..? 내가 엄마라고..? 딸..아들.. 기억못하겠어.."" (잉여맨 가족상황극 마인크래프트)",509848.0,7486.0,1489.0,907000
450,e_1Nj64SbYg,[마인크래프트 코로나 아일랜드] 좀비들에게 점령당한 도시에 가야해요!!! 밤만되면 우르르르르르쏟아지는 좀비!! 재밌는 서바이벌맵! 간단 리뷰 & 플레이 영상,502624.0,2581.0,362.0,813000
243,G2iE56iqGq8,멍청이들이 숨바꼭질 하는 법ㅋㅋㅋ[카스온라인 숨바꼭질 모드] | 주둥이방송,494732.0,4905.0,118.0,360000
259,uyFQ3dpRcL4,스페셜솔져 드디어 S급 GOLD M870 만든다!!~ 우타스(UTS-15)의 너프!! 골구샷 재조명 각!!!,481704.0,3733.0,1007.0,148000
276,mkbiAbO4ae4,[모동숲] 함정씨앗에 넘어지면 어떻게 될까??,480573.0,4612.0,511.0,44000
294,Bn4lOuPt6-k,말도 안되는 조건으로 유저들을 미치게한 극악의 도전과제들,464235.0,5610.0,734.0,361000
493,Ib_11sMppY4,한국사 일타강사 도전합니다.,456691.0,7156.0,774.0,1080000
115,ApU3EOs5RlM,한 키보드로 8명이 한 몸으로 움직이는 게임｜피코 파크 #1,456334.0,5510.0,633.0,1700000
321,oCFs_-bRihg,GTA 5 스파이더맨 모드로 할 수 있는 재미있는 놀이들 - GTA 5 Funny Moments: Grappling Hook Mod,448601.0,1863.0,231.0,849000
300,jmAKbgi1Xpk,코로나 환자로 의심받고 헬스장에서 입구컷당한 썰 ㅋㅋㅋㅋㅋㅋ,435722.0,7858.0,1109.0,865000
74,ONXB9HkMVdI,파괴수 펀칭 머신(마인크래프트),434509.0,7529.0,682.0,498000
360,o9Oizw3dE50,코로나 때문에 학교 못가니까 에란겔 학교로 등교하자 얘두라ㅋ [배그 모바일],412941.0,4037.0,1639.0,504000
486,LO_XAL0ewgI,제98강:모더나 백신 맞고 항체가 얼마나 지속이 될까?,373093.0,19718.0,1224.0,466000
449,VHpYw1DeECs,C&C Red Alert 3 - Testing Super Units (Mod : REMIX),336965.0,4379.0,449.0,20100
279,K4Iukwbw4CU,모동숲)마을에 이사온 아이다씨와 함께하는 행복한 무인도생활^^ 저에겐 너무 과분한 그녀 #2,331090.0,3944.0,641.0,63600
249,Ee0b9ZztXEw,남의 방송만 가면 정상적으로 바뀌는 유튜버ㅋㅋㅋ,328937.0,8654.0,620.0,360000
283,FufRxPSuUzk,이게 심즈야? GTA야?? 요새 만들어서 좀비막기!! (GTA 5 Funny Moments),327009.0,4053.0,195.0,312000
463,JgPPJKtZ3aI,🛫현직 파일럿과 함께하는 MS 플라이트 시뮬레이터2020 인천→제주 비행 영상 Full ver. ※시간 순삭 주의 [✈떴다 떴다 변비행✈ 52화],324239.0,2476.0,333.0,17400
133,MuQW3B_gPeY,WE BUILT A SKY BASE! | Roblox SCP-3008,307236.0,7914.0,967.0,60200
272,OOJyir__lSc,[모동숲] 뻘짓하다가 버그발견 | 낮잠자기 비하인드 영상,291270.0,3789.0,481.0,91400
485,AlKK696oj1c,제106강:얀센백신 남아공 변종에 탁월한 효능 밝혀져  (얀센 백신 VS. 화이자 백신 VS. 아스트라제네카),289095.0,10835.0,1234.0,466000
550,K1zctgZZuXY,"코로나 누가 걸리나 싶었는데, 내가 걸림.",279978.0,5779.0,445.0,295000
322,jNriFZw5-go,잼민이 모음.zip,276577.0,4653.0,1423.0,46200
475,cE6Jz4RYie0,엄마 몰래 먹는 라면은 꿀맛..걸리지 않기를ㅋㅋ플레르의 몰래 라면 먹기 도전! [모바일게임]Mobile game - [플레르TV],271374.0,3175.0,839.0,334000
215,vdPYNS8yRdE,법 - 규 ♂ 도망쳐야 하는 '딥 다크' 유즈맵 【GAY에게 살아남기】,243015.0,1172.0,141.0,251000
72,kw-Ltkw12tI,사슬의 상태가...? (마인크래프트),242399.0,3077.0,455.0,60600
282,EhoiBHOh2Yc,아이언맨이 돌아왔다?! 엄청난 스킬과 퀄리티!! 영화야 게임이야..? [어벤져스: 엔드게임](GTA5),240104.0,10558.0,499.0,312000
170,ZggzBzSbAUU,【로블록스】방역수칙을 잘 지키는 코로나 가면,229672.0,1639.0,449.0,61600
123,Eb8hWJ8Liog,"목소리를 듣고 진짜 여자를 찾아라!! 전부 남자목소리인데....여자라고?....(VRChat, VR챗)",215332.0,3737.0,436.0,61800
607,loK8Utc_YYQ,【로블록스】 시작섬에서 뉴비들을 공격하는 친구를 혼내줬어요! [태권판다],195332.0,1374.0,351.0,61600
23,7S7SfyVE8Zc,얀센백신 맞는 분들이 꼭 알아야 할 부작용 증상,192736.0,3069.0,719.0,702000
